Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
56,3.0,0.0,0.0,425.0,8.0,81.0,2593.0,0.0,114.108,0.0,0.0,305.27660965919495,,,,,,,,,,,,,,,,,,,,,4.513847904718092,1.8932843317618662,6.495125832835772,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,3.0,0.0,0.0,496.0,9.0,71.0,2664.0,0.0,101.20500000000001,0.0,0.0,310.3786082267761,,,,,,,,,,,,,,,,,,,,,4.569095027439545,1.6260291910703606,6.504799690060255,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,3.0,0.0,0.0,530.0,10.0,34.0,2698.0,0.0,44.00599999999999,0.0,0.0,312.949595451355,,,,,,,,,,,,,,,,,,,,,3.9145623787570787,2.399816914478209,6.537376702261217,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,3.0,0.0,0.0,562.0,11.0,32.0,2730.0,0.0,34.508999999999986,0.0,0.0,315.49340295791626,,,,,,,,,,,,,,,,,,,,,3.173482635816195,2.3836148361668474,6.183773666506797,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,3.0,0.0,0.0,665.0,12.0,103.0,2833.0,0.0,113.82299999999998,0.0,0.0,323.2079529762268,,,,,,,,,,,,,,,,,,,,,3.55015556702658,2.116567430372379,6.271822405874774,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,698.0,13.0,33.0,2866.0,0.0,33.407999999999994,0.0,0.0,325.46923422813416,,,,,,,,,,,,,,,,,,,,,2.9849813658332374,2.287422108112494,6.1298651636188435,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,722.0,14.0,24.0,2890.0,0.0,27.406000000000013,0.0,0.0,327.5023968219757,,,,,,,,,,,,,,,,,,,,,3.1938919738824167,2.3913003456106394,6.311860841510196,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,772.0,15.0,50.0,2940.0,0.0,60.40599999999999,0.0,0.0,331.10896348953247,,,,,,,,,,,,,,,,,,,,,3.7384734768496592,1.8250787929275865,6.184139781792996,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,4.0,0.0,0.0,0.0,0.0,30.0,2970.0,0.0,26.70900000000002,0.0,0.0,370.2746844291687,,,,,,,,,0.17557783,0.05103281,0.2837233,0.12070147,,,,,6.798069,4.5458765,25.549814,1.0857012,2.510416042439362,2.1466810509328016,6.255623710297417,0.001,1.8923974,0.0,1.8923974,1.8923974,-4.429817554614091e-18,0.9999999999999999,5.88040563353468,-2.2253481205964922,3.5193143,2.0103464,6.595517,0.004390483,0.2534272,0.027055139,0.30926007,0.2217164,-0.058619455,0.029994387,-0.006126744,-0.10639918,3.628250688402744,2.1288713370148797,6.527790493948467,0.0010000000000000009,0.055578407,0.0,0.055578407,0.055578407,0.9953868,0.29859626,2.3502898,0.1922345,0.9909663,0.16409263,1.2,0.8
65,4.0,0.0,0.0,19.0,1.0,19.0,2989.0,0.0,21.30500000000001,0.0,0.0,380.89821600914,,,,,,,,,,,,,,,,,,,,,2.996898776413958,2.3722718764572526,6.086521791371537,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,4.0,0.0,0.0,73.0,2.0,54.0,3043.0,0.0,65.80900000000004,0.0,0.0,385.0425055027008,,,,,,,,,,,,,,,,,,,,,3.814945730180612,2.2259782587654002,6.43219343624221,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,4.0,0.0,0.0,133.0,3.0,60.0,3103.0,0.0,87.007,0.0,0.0,389.43702459335327,,,,,,,,,,,,,,,,,,,,,4.5980416985562105,2.0197412348457178,6.342644342422164,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,4.0,0.0,0.0,157.0,4.0,24.0,3127.0,0.0,26.505000000000013,0.0,0.0,391.3954927921295,,,,,,,,,,,,,,,,,,,,,3.0758832337191095,2.1171160045152746,6.226629596032014,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,4.0,0.0,0.0,190.0,5.0,33.0,3160.0,0.0,32.90899999999999,0.0,0.0,393.9288444519043,,,,,,,,,,,,,,,,,,,,,2.8932370652322708,2.251834829154999,6.212691120118134,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,4.0,0.0,0.0,239.0,6.0,49.0,3209.0,0.0,40.819999999999965,0.0,0.0,397.5297055244446,,,,,,,,,,,,,,,,,,,,,2.48582774790289,2.3890075845333882,6.205730676206595,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
